eps,test,rejection rate
0.05,KLR,0.205
0.05,KLR0,0.21
0.05,*KLR*,0.12
0.05,logdet2,0.285
0.05,CM,0.03
0.05,SpecReg-MMD,0.015
0.05,AggMMD,0.035
0.05,HT,0.045
0.05,FR,0.035
0.1,KLR,0.72
0.1,KLR0,0.935
0.1,*KLR*,0.56
0.1,logdet2,0.955
0.1,CM,0.02
0.1,SpecReg-MMD,0.015
0.1,AggMMD,0.04
0.1,HT,0.09
0.1,FR,0.04
0.15,KLR,0.97
0.15,KLR0,1.0
0.15,*KLR*,0.985
0.15,logdet2,1.0
0.15,CM,0.065
0.15,SpecReg-MMD,0.025
0.15,AggMMD,0.045
0.15,HT,0.14
0.15,FR,0.09
0.2,KLR,1.0
0.2,KLR0,1.0
0.2,*KLR*,1.0
0.2,logdet2,1.0
0.2,CM,0.09
0.2,SpecReg-MMD,0.035
0.2,AggMMD,0.08
0.2,HT,0.24
0.2,FR,0.13
0.25,KLR,1.0
0.25,KLR0,1.0
0.25,*KLR*,1.0
0.25,logdet2,1.0
0.25,CM,0.315
0.25,SpecReg-MMD,0.175
0.25,AggMMD,0.35
0.25,HT,0.475
0.25,FR,0.12
