test,rejection_rate,sample_size
KLR,0.3888888888888889,500
KLR0,0.3472222222222222,500
*KLR*,0.3888888888888889,500
logdet2,0.3194444444444444,500
CM,0.375,500
SpecReg-MMD,0.375,500
AggMMD,0.1388888888888889,500
KLR,0.5972222222222222,700
KLR0,0.5833333333333334,700
*KLR*,0.5833333333333334,700
logdet2,0.5277777777777778,700
CM,0.5694444444444444,700
SpecReg-MMD,0.5,700
AggMMD,0.19444444444444445,700
KLR,0.6111111111111112,900
KLR0,0.5833333333333334,900
*KLR*,0.6111111111111112,900
logdet2,0.5555555555555556,900
CM,0.5277777777777778,900
SpecReg-MMD,0.5,900
AggMMD,0.2222222222222222,900
