dimension,test,rejection rate
50,KLR,0.045
50,KLR0,0.06
50,*KLR*,0.03
50,logdet2,0.08
50,CM,0.015
50,SpecReg-MMD,0.015
50,AggMMD,0.015
50,HT,0.02
50,FR,0.03
250,KLR,0.035
250,KLR0,0.06
250,*KLR*,0.035
250,logdet2,0.04
250,CM,0.025
250,SpecReg-MMD,0.01
250,AggMMD,0.01
250,HT,0.065
250,FR,0.05
500,KLR,0.08
500,KLR0,0.065
500,*KLR*,0.065
500,logdet2,0.065
500,CM,0.045
500,SpecReg-MMD,0.02
500,AggMMD,0.03
500,HT,0.055
500,FR,0.055
1000,KLR,0.05
1000,KLR0,0.055
1000,*KLR*,0.05
1000,logdet2,0.05
1000,CM,0.03
1000,SpecReg-MMD,0.025
1000,AggMMD,0.045
1000,HT,0.025
1000,FR,0.02
1500,KLR,0.03
1500,KLR0,0.05
1500,*KLR*,0.035
1500,logdet2,0.04
1500,CM,0.02
1500,SpecReg-MMD,0.015
1500,AggMMD,0.025
1500,HT,0.02
1500,FR,0.075
